#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           8   0.0233519   0.0214005  0.00258217
           8   0.0207824   0.0177338  0.00324807
           8   0.0228148   0.0125179  0.00252843
           8   0.0112778  0.00923611  0.00349035
           8  0.00374074  0.00535532  0.00119054
           8 0.000976852   0.0052853  0.00201261
           8  0.00252315  0.00622338  0.00198927
           8   0.0173565   0.0123397  0.00386983


           9           0  0.00067644 0.000372457
           9  0.00331481    0.002393 0.000501288
           9  0.00526852  0.00714506  0.00150665
           9   0.0240926   0.0118966  0.00215204
           9     0.01675   0.0149624  0.00221329
           9   0.0206019   0.0200118  0.00246329
           9   0.0399769   0.0292814   0.0047847
           9   0.0492269   0.0384655  0.00275369
           9   0.0397269   0.0436641  0.00503871
           9   0.0492593   0.0511682  0.00579414
           9   0.0864907    0.071697   0.0065336
           9   0.0801944   0.0624619  0.00626264
           9   0.0613056   0.0689964  0.00418211
           9    0.068713   0.0605041  0.00564824
           9   0.0577315    0.103591   0.0401534
           9   0.0366065   0.0756512   0.0138783
           9    0.035537   0.0612958  0.00589769
           9   0.0604259   0.0490838  0.00335634
           9   0.0373611   0.0388915  0.00406256
           9   0.0369722   0.0379866  0.00416784
           9   0.0326019   0.0312973  0.00404406
           9   0.0438657   0.0261332  0.00424335
           9    0.033537    0.022749  0.00262386
           9   0.0253843   0.0185838  0.00299634
           9   0.0189815   0.0132361  0.00234727
           9   0.0101852  0.00934156  0.00310412
           9  0.00643981  0.00547582  0.00106434
           9  0.00331481  0.00506636  0.00180086
           9  0.00636111  0.00623868   0.0017683
           9  0.00977315   0.0120545  0.00345034


          10 0.000143519 0.000623148 0.000339003
          10  0.00166667  0.00232037 0.000456391
          10   0.0151111  0.00794167  0.00155236
          10   0.0196667   0.0126736  0.00207236
          10    0.026963   0.0161625  0.00229435
          10   0.0303889   0.0210495  0.00242571
          10   0.0186713   0.0282204  0.00442231
          10   0.0367731   0.0382963  0.00248352
          10   0.0480741   0.0441051   0.0045541
          10   0.0597315   0.0520245  0.00527762
          10   0.0531111   0.0698384  0.00613891
          10   0.0649352   0.0627093  0.00564126
          10   0.0706065   0.0691574    0.003767
          10   0.0493102   0.0593847  0.00519315
          10   0.0531389   0.0985454   0.0364536
          10   0.0681111   0.0748972    0.012511
          10   0.0838426   0.0635505   0.0057227
          10   0.0576111   0.0499366  0.00312715
          10   0.0406528   0.0390676  0.00366012
          10   0.0261065   0.0367986  0.00391671
          10   0.0470509   0.0328727  0.00393455
          10   0.0345694   0.0269769  0.00390198
          10    0.014338   0.0219079  0.00249264
          10   0.0179954    0.018525  0.00269729
          10   0.0212917   0.0140417  0.00224653
          10    0.011787  0.00958611  0.00280333
          10  0.00683333  0.00561157 0.000966522
          10   0.0151204  0.00607176   0.0018806
          10  0.00406481   0.0060213  0.00160478
          10  0.00233333   0.0110824  0.00323936


          11 0.000699074 0.000630051 0.000308255
          11  0.00197685  0.00228914 0.000415968
          11  0.00664815  0.00782407  0.00141568
          11   0.0178565   0.0131448  0.00193679
          11   0.0278796   0.0172277   0.0023199
          11   0.0280509    0.021686  0.00228717
          11    0.036213    0.028947  0.00407953
          11   0.0346019   0.0379604  0.00228034
          11   0.0560694   0.0451928    0.004268
          11   0.0507269   0.0519066  0.00479916
          11   0.0416667   0.0672774  0.00609167
          11   0.0509907   0.0616439  0.00522804
          11   0.0625231   0.0685543  0.00347249
          11   0.0539769   0.0588931  0.00474426
          11   0.0665046   0.0956326   0.0332558
          11   0.0730417   0.0747285   0.0113747
          11   0.0833194   0.0653476  0.00547739
          11   0.0501204   0.0499533  0.00284291
          11   0.0534306   0.0403733  0.00355266
          11   0.0427685   0.0373413  0.00359805
          11   0.0395926   0.0334836  0.00362398
          11   0.0331157   0.0275349  0.00358694
          11   0.0207593   0.0218035  0.00226822
