#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           9      5.2235     5.11894    0.328881
           9      2.4035     3.77311    0.389658
           9       2.262     3.49228    0.290339
           9       1.751       2.157    0.268263
           9       1.286     2.14817    0.270178
           9      1.6465     1.49811    0.147888
           9       0.664     1.10594    0.102591
           9      0.1785    0.567556    0.107425
           9       0.094    0.438167    0.126161
           9      0.4205    0.276333   0.0677953
           9       0.232    0.116444   0.0455382
           9      0.1285   0.0509444   0.0335395
           9      0.1075   0.0326111   0.0212513
           9       0.048   0.0230556   0.0168363


          10      0.0735     0.04345   0.0218313
          10       0.549     0.46915   0.0653921
          10        2.82     1.38805    0.194396
          10      2.3545      2.2108    0.124851
          10      3.6905      3.3839    0.252385
          10      5.6275     4.86355    0.432522
          10      7.3665      6.4995    0.479485
          10      9.6795     8.40255    0.587875
          10      8.0855     9.26765    0.496953
          10       8.447     8.83205    0.514275
          10      8.2425     9.04845    0.425606
          10      8.7135     8.16535    0.397572
          10      6.8185     6.91545    0.303105
          10      5.5955      6.1306    0.125141
          10       6.148      6.0675    0.406585
          10       7.169     5.93125    0.691954
          10      6.2235      5.2294    0.313994
          10       2.548      3.6506     0.36945
          10      1.2705      3.2701    0.335718
          10       1.471      2.0884    0.250054
          10       1.787     2.11205    0.245562
          10       1.584      1.5067    0.133348
          10       0.451     1.04045    0.111291
          10       0.241      0.5349    0.101524
          10       0.324     0.42675    0.114061
          10        0.04      0.2527   0.0650047
          10      0.5055     0.15535   0.0551543
          10       0.029     0.04875   0.0302573
          10      0.0245      0.0318   0.0191416
          10      0.1205      0.0328     0.01775


          11      0.2075   0.0583636   0.0244149
          11      0.8595    0.504636   0.0684017
          11      2.7305     1.51009    0.211592
          11       3.525     2.33027    0.160806
          11       3.703     3.41291    0.231102
          11       4.876     4.86468    0.393203
          11        6.73     6.52045    0.436353
          11      7.7645     8.34455    0.537286
          11      6.7075     9.03491    0.503334
          11       8.007     8.75705    0.472961
          11      9.2155     9.06364    0.387185
          11     10.4485     8.37291    0.412062
          11       7.486     6.96732    0.279953
          11       7.147       6.223    0.143889
          11      6.2235     6.08168     0.36987
          11      7.4415     6.06855    0.642525
          11      4.0615     5.12323    0.302868
          11       2.331     3.53064    0.354806
          11        2.54     3.20373    0.311691
          11       1.718     2.05473    0.229578
          11      1.0745     2.01773    0.240673
          11      1.3865     1.49577    0.121673
          11       0.597     1.00014    0.108229
          11       0.219    0.506182    0.096271
          11       0.103    0.397318    0.107422
          11      0.0065    0.230318   0.0628303
          11       0.011    0.142227   0.0516778
          11      0.7205    0.109818   0.0643965
          11      0.1015   0.0381364   0.0184204
          11      0.0575   0.0350455   0.0162777


          12      0.2065   0.0707083   0.0253095
          12       0.602     0.51275   0.0631809
          12       1.165     1.48133    0.195904
          12      3.3495     2.41521    0.168348
