# Generazione: Individuo: Fitness:
4 51 32.9212
4 52 33.0093
4 53 33.3681
4 54 33.3681
4 55 33.7254
4 56 33.7841
4 57 34.067
4 58 34.0996
4 59 34.0996
4 60 34.0996
4 61 34.1247
4 62 34.1247
4 63 34.1247
4 64 34.427
4 65 34.8338
4 66 34.8338
4 67 34.9144
4 68 34.959
4 69 35.0258
4 70 35.1193
4 71 35.1193
4 72 35.1193
4 73 35.1701
4 74 35.5878
4 75 35.9004
4 76 35.9996
4 77 35.9996
4 78 36
4 79 36.0414
4 80 36.0979
4 81 36.0979
4 82 36.1303
4 83 36.1419
4 84 36.2203
4 85 36.2271
4 86 36.4885
4 87 36.5164
4 88 36.5164
4 89 37.0489
4 90 37.0489
4 91 37.0489
4 92 37.1559
4 93 37.2239
4 94 37.2449
4 95 37.2736
4 96 37.3186
4 97 37.6732
4 98 37.6732
4 99 37.7142
4 100 37.7142
4 101 37.877
4 102 37.9798
4 103 37.9979
4 104 38.0375
4 105 38.1661
4 106 38.1661
4 107 38.1661
4 108 38.1823
4 109 38.1823
4 110 38.1823
4 111 38.4901
4 112 38.7213
4 113 38.9086
4 114 38.9199
4 115 38.9929
4 116 39.0065
4 117 39.0503
4 118 39.0657
4 119 39.1148
4 120 39.2224
4 121 39.2516
4 122 39.3494
4 123 39.3494
4 124 39.4102
4 125 39.5099
4 126 39.5099
4 127 39.5099
4 128 39.5099
4 129 39.5253
4 130 39.5903
4 131 39.7823
4 132 39.846
4 133 39.846
4 134 40.0537
4 135 40.0582
4 136 40.0602
4 137 40.1049
4 138 40.135
4 139 40.135
4 140 40.1687
4 141 40.2646
4 142 40.2672
4 143 40.5162
4 144 40.7533
4 145 40.7533
4 146 40.7964
4 147 41.0051
4 148 41.1298
4 149 41.1298
4 150 41.1298
4 151 41.1298
4 152 41.3214
4 153 41.4716
4 154 41.6339
4 155 41.6339
4 156 41.6339
4 157 41.6339
4 158 41.6339
4 159 41.6385
4 160 41.6482
4 161 41.6482
4 162 41.6482
4 163 41.6528
4 164 41.7267
4 165 41.743
4 166 41.7841
4 167 41.8489
4 168 41.9419
4 169 42.0736
4 170 42.1372
4 171 42.1372
4 172 42.2775
4 173 42.4136
4 174 42.4749
4 175 42.6292
4 176 42.6595
4 177 42.6951
4 178 42.8346
4 179 43.0241
4 180 43.0321
4 181 43.0321
4 182 43.5753
4 183 43.8179
4 184 43.8997
4 185 44.4256
4 186 44.4416
4 187 44.5413
4 188 44.8949
4 189 44.9553
4 190 45.0876
4 191 45.1382
4 192 46.0666
4 193 46.0804
4 194 46.2278
4 195 46.3092
4 196 46.3092
4 197 46.3092
4 198 46.3092
4 199 47.1539
4 200 49.4889
5 1 24.3274
5 2 24.3274
5 3 24.3274
5 4 24.3274
5 5 24.3274
5 6 25.3051
5 7 25.3051
5 8 26.0619
5 9 26.0735
5 10 26.0735
5 11 26.0735
5 12 26.0735
5 13 26.0735
5 14 26.0735
5 15 26.0735
5 16 26.0735
5 17 26.0735
5 18 26.0735
5 19 26.0735
5 20 26.752
5 21 27.9075
5 22 27.9075
5 23 28.055
5 24 28.055
5 25 28.055
5 26 28.055
5 27 28.055
5 28 28.055
5 29 28.055
5 30 28.1677
5 31 28.2317
5 32 28.2317
5 33 28.2317
5 34 28.2317
5 35 28.2317
5 36 28.2317
5 37 28.2317
5 38 28.2317
5 39 28.2317
5 40 28.3974
5 41 28.3974
5 42 28.6409
5 43 28.917
5 44 29.171
5 45 29.171
5 46 29.6567
5 47 29.6567
5 48 29.6567
5 49 29.7735
5 50 29.7735
5 51 29.7735
5 52 29.7735
5 53 30.2509
5 54 30.316
5 55 30.316
5 56 30.4087
5 57 31.0925
5 58 31.4116
5 59 31.4116
5 60 31.4116
5 61 31.5891
5 62 31.8929
5 63 31.8929
5 64 31.9265
5 65 32.8621
5 66 32.9212
5 67 33.0093
5 68 33.3681
5 69 33.3681
5 70 33.3681
5 71 33.3681
5 72 33.7254
5 73 33.7841
5 74 34.067
5 75 34.0996
5 76 34.1247
5 77 34.1247
5 78 34.2667
5 79 34.5086
5 80 34.6093
5 81 34.6764
5 82 34.8338
5 83 34.8338
5 84 34.959
5 85 35.0258
5 86 35.1193
5 87 35.1193
5 88 35.1193
5 89 35.1193
5 90 35.9004
5 91 35.9996
5 92 35.9996
5 93 35.9996
5 94 36
5 95 36.0979
5 96 36.1303
5 97 36.2271
5 98 36.4885
5 99 36.5164
5 100 36.5164
5 101 37.0489
