#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
146 0.456461 1.06812 0.570102 -0.141995 0.00502491
147 0.451896 1.06812 0.570102 -0.138205 0.00603784
148 0.447377 1.10135 0.636311 -0.0310356 0.0103925
149 0.442904 1.09075 0.644792 -0.0476972 0.00907252
150 0.438475 1.09075 0.644792 -0.0370862 0.0104676
151 0.43409 1.09075 0.644792 -0.0382782 0.0084994
152 0.429749 1.09048 0.608099 -0.0923709 0.00817193
153 0.425451 0.878306 0.612058 -0.41989 0.00345801
154 0.421197 0.878306 0.612058 -0.420465 0.00360541
155 0.416985 1.08176 0.703895 0.0595914 0.0122719
156 0.412815 1.08176 0.703895 0.0603077 0.0127647
157 0.408687 1.01521 0.574217 -0.235589 0.00472788
158 0.4046 0.94486 0.543084 -0.308292 0.00387371
159 0.400554 0.94486 0.543084 -0.313715 0.00381139
160 0.396549 0.94486 0.543084 -0.313414 0.00416324
161 0.392583 0.814553 0.50656 -0.317293 0.00649475
162 0.388657 0.631731 0.551124 -0.320447 0.00371807
163 0.384771 0.631731 0.551124 -0.320278 0.00371215
164 0.380923 0.631731 0.551124 -0.319906 0.00382736
165 0.377114 0.674283 0.728253 -0.366076 0.00391025
166 0.373343 0.728808 0.604461 -0.426238 0.00231919
167 0.369609 0.581964 0.583421 -0.277221 0.00365353
168 0.365913 0.581964 0.583421 -0.276808 0.0036689
169 0.362254 0.606827 0.55415 -0.298776 0.00363178
170 0.358631 0.687142 0.379352 0.4251 0.0137054
171 0.355045 0.687142 0.379352 0.424832 0.0145539
172 0.351495 0.515046 0.515111 -0.118554 0.00520011
173 0.34798 0.515046 0.515111 -0.118281 0.0052107
174 0.3445 0.575298 0.549377 -0.249272 0.0042798
175 0.341055 0.6006 0.685407 -0.325463 0.00315906
176 0.337644 0.643141 0.586319 -0.356275 0.00357116
177 0.334268 0.721619 0.557633 -0.391966 0.00356901
178 0.330925 0.618159 0.571456 -0.317394 0.00322175
179 0.327616 0.63189 0.619231 -0.350015 0.00298027
180 0.32434 0.70466 0.649107 -0.412236 0.00301013
181 0.321096 0.690515 0.543434 -0.365702 0.00380986
182 0.317885 0.690515 0.543434 -0.360541 0.00400936
183 0.314707 0.786526 0.651174 -0.438177 0.00263967
184 0.311559 0.659106 0.527346 -0.312441 0.00431409
185 0.308444 0.754107 0.659017 -0.428281 0.00352533
186 0.305359 0.858702 0.727455 -0.341574 0.00777602
187 0.302306 0.834188 0.81946 -0.234845 0.0157562
188 0.299283 0.834188 0.81946 -0.230141 0.0112659
189 0.29629 0.834188 0.81946 -0.222859 0.0106364
190 0.293327 0.834188 0.81946 -0.222613 0.0104752
191 0.290394 0.957531 0.757459 -0.174844 0.0115108
192 0.28749 0.957531 0.757459 -0.157078 0.0123598
193 0.284615 0.920966 0.634006 -0.377855 0.00415364
194 0.281769 0.902044 0.620709 -0.408766 0.00402707
195 0.278951 0.764909 0.488029 -0.261607 0.00792124
196 0.276162 0.791509 0.468066 -0.162283 0.0071408
197 0.2734 0.791509 0.468066 -0.178713 0.00917168
198 0.270666 0.720795 0.46686 -0.189189 0.00811291
199 0.267959 0.816927 0.497771 -0.286176 0.00707818
200 0.26528 0.816927 0.497771 -0.291226 0.00695094
201 0.262627 0.751182 0.535912 -0.381131 0.00437965
202 0.260001 0.816668 0.494403 -0.271879 0.00667332
203 0.257401 0.748684 0.490693 -0.254906 0.00736446
204 0.254827 0.719249 0.521345 -0.355136 0.00541091
205 0.252278 0.644545 0.419917 0.0335724 0.0118902
206 0.249756 0.74296 0.421559 0.0853729 0.0101361
207 0.247258 0.804524 0.531016 -0.370693 0.00459041
208 0.244785 0.804524 0.531016 -0.374789 0.00516679
209 0.242338 0.804524 0.531016 -0.367035 0.00437867
210 0.239914 0.791931 0.541808 -0.383611 0.00386883
211 0.237515 0.733939 0.606381 -0.42809 0.00229704
212 0.23514 0.704801 0.607803 -0.413308 0.00219896
213 0.232789 0.796464 0.52008 -0.338723 0.00556434
214 0.230461 0.796464 0.52008 -0.346956 0.00541246
215 0.228156 0.832321 0.526252 -0.353899 0.00497357
216 0.225875 0.832321 0.526252 -0.344549 0.00495381
217 0.223616 0.832321 0.526252 -0.357432 0.00530894
218 0.22138 0.778058 0.531108 -0.364681 0.00402027
219 0.219166 0.85475 0.586265 -0.421969 0.00398124
220 0.216974 0.85475 0.586265 -0.424303 0.00295928
221 0.214804 0.91061 0.635226 -0.39059 0.00464099
222 0.212656 0.851487 0.642976 -0.428412 0.00367821
223 0.21053 0.851487 0.642976 -0.428121 0.00473911
224 0.208425 0.801704 0.567983 -0.421189 0.00300504
225 0.20634 0.801704 0.567983 -0.428547 0.00286375
226 0.204277 0.722858 0.627892 -0.427963 0.00268509
227 0.202234 0.722858 0.627892 -0.420104 0.0023166
228 0.200212 0.752925 0.65508 -0.430905 0.00251648
229 0.19821 0.66679 0.65191 -0.38339 0.00295112
230 0.196228 0.66679 0.65191 -0.38936 0.00224555
231 0.194265 0.605577 0.74938 -0.321402 0.00558839
232 0.192323 0.535218 0.676088 -0.260758 0.00393841
233 0.190399 0.483228 0.745204 -0.240986 0.00474093
234 0.188495 0.572648 0.700372 -0.299023 0.00392394
235 0.18661 0.645071 0.77181 -0.329185 0.00581952
236 0.184744 0.725368 0.771642 -0.345691 0.00580133
237 0.182897 0.709048 0.705782 -0.388961 0.00351104
238 0.181068 0.627382 0.760275 -0.337335 0.00552262
239 0.179257 0.664991 0.811318 -0.336047 0.00709597
240 0.177465 0.577584 0.872227 -0.270416 0.00896606
241 0.17569 0.628423 0.816507 -0.315113 0.00863372
242 0.173933 0.576958 0.772795 -0.312751 0.004521
243 0.172194 0.497531 0.774483 -0.27058 0.00518629
244 0.170472 0.475097 0.842426 -0.263021 0.00566699
245 0.168767 0.450744 0.769511 -0.240153 0.0050175
246 0.167079 0.524892 0.819686 -0.296121 0.00544435
247 0.165409 0.461592 0.743389 -0.231988 0.00465427
248 0.163755 0.534523 0.813785 -0.293796 0.00495279
249 0.162117 0.509276 0.850418 -0.277615 0.00557841
250 0.160496 0.503436 0.867032 -0.263254 0.00680125
251 0.158891 0.563742 0.793849 -0.299767 0.0049185
252 0.157302 0.564654 0.859523 -0.272841 0.00660142
253 0.155729 0.59213 0.917698 -0.245625 0.00916903
254 0.154172 0.632839 0.885116 -0.264463 0.00922212
255 0.15263 0.570373 0.833446 -0.296751 0.00545304
256 0.151104 0.570373 0.833446 -0.299943 0.00619137
257 0.149593 0.511452 0.767019 -0.272156 0.00438416
258 0.148097 0.582593 0.778215 -0.31813 0.0047295
259 0.146616 0.511494 0.777395 -0.279758 0.00488375
260 0.14515 0.576662 0.736167 -0.316928 0.00528862
261 0.143698 0.620007 0.756287 -0.335575 0.00570811
262 0.142261 0.565153 0.714116 -0.303947 0.0039984
263 0.140838 0.599592 0.670297 -0.32787 0.00404761
264 0.13943 0.659635 0.657987 -0.371942 0.00292783
265 0.138036 0.654472 0.628247 -0.372593 0.003001
266 0.136655 0.654472 0.628247 -0.376683 0.00228644
267 0.135289 0.609071 0.650459 -0.336592 0.00326325
268 0.133936 0.569738 0.589479 -0.271387 0.00380125
269 0.132597 0.5723 0.579094 -0.273718 0.00403845
270 0.131271 0.590637 0.546994 -0.272006 0.00422704
271 0.129958 0.565037 0.582416 -0.257976 0.00385392
272 0.128658 0.602314 0.521456 -0.250573 0.00452827
273 0.127372 0.634979 0.512661 -0.281836 0.00485337
274 0.126098 0.634979 0.512661 -0.275641 0.00489696
275 0.124837 0.634979 0.512661 -0.284033 0.00571934
276 0.123589 0.649994 0.526228 -0.306676 0.00470963
277 0.122353 0.698379 0.55733 -0.383576 0.00337718
278 0.121129 0.705152 0.518792 -0.330216 0.00462572
279 0.119918 0.705152 0.518792 -0.336958 0.00509348
280 0.118719 0.71815 0.577606 -0.408158 0.00299119
281 0.117532 0.773459 0.546853 -0.396373 0.00416122
282 0.116356 0.817011 0.578113 -0.431389 0.00294237
283 0.115193 0.780563 0.620609 -0.440318 0.0023351
284 0.114041 0.739461 0.657555 -0.426931 0.003345
285 0.1129 0.737053 0.66518 -0.41541 0.00382827
286 0.111771 0.749735 0.651043 -0.42962 0.0033739
287 0.110654 0.783369 0.705787 -0.398072 0.00571302
288 0.109547 0.82102 0.695209 -0.410677 0.00515153
289 0.108452 0.808381 0.651577 -0.432336 0.00321398
290 0.107367 0.803412 0.600001 -0.445802 0.00239206
291 0.106294 0.772861 0.568253 -0.420613 0.0028768
292 0.105231 0.763067 0.582038 -0.427143 0.00252737
293 0.104178 0.782572 0.541952 -0.394867 0.0046823
294 0.103137 0.809626 0.5475 -0.395717 0.00434903
295 0.102105 0.851005 0.581001 -0.422706 0.00280016
296 0.101084 0.851005 0.581001 -0.41964 0.00310201
297 0.100073 0.82494 0.620286 -0.444278 0.00331271
298 0.0990725 0.814432 0.664507 -0.43306 0.00395698
299 0.0980818 0.862224 0.639893 -0.425788 0.00363035
300 0.097101 0.834744 0.602954 -0.442861 0.00284841
301 0.09613 0.801398 0.647697 -0.433785 0.00356045
302 0.0951687 0.809395 0.674726 -0.425695 0.00464453
303 0.094217 0.830695 0.700597 -0.38695 0.00689757
304 0.0932748 0.830695 0.700597 -0.386404 0.00508504
305 0.0923421 0.829646 0.671118 -0.416778 0.00468069
306 0.0914186 0.862304 0.667403 -0.406566 0.00433905
307 0.0905044 0.880231 0.648749 -0.409001 0.00387257
308 0.0895994 0.845352 0.609294 -0.438417 0.0029892
309 0.0887034 0.845352 0.609294 -0.434966 0.00292259
310 0.0878164 0.814113 0.574356 -0.424882 0.00308802
311 0.0869382 0.773321 0.553531 -0.411772 0.00330235
312 0.0860688 0.743387 0.567125 -0.418229 0.00306714
313 0.0852081 0.743387 0.567125 -0.412058 0.0033244
314 0.0843561 0.743293 0.578295 -0.424549 0.002778
315 0.0835125 0.737807 0.584703 -0.422191 0.00274314
316 0.0826774 0.735429 0.576033 -0.420795 0.00307309
317 0.0818506 0.744892 0.552761 -0.404242 0.00348838
318 0.0810321 0.769649 0.586915 -0.433606 0.00269665
319 0.0802218 0.74959 0.566928 -0.416607 0.00270045
320 0.0794196 0.743368 0.568406 -0.415905 0.00335517
321 0.0786254 0.766917 0.545225 -0.398734 0.00427365
322 0.0778391 0.801263 0.572622 -0.428412 0.00304428
323 0.0770607 0.772322 0.593315 -0.436996 0.00238111
324 0.0762901 0.785693 0.555215 -0.408249 0.00342379
325 0.0755272 0.795765 0.574417 -0.428979 0.0032145
