#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           7    0.532063    0.398103  0.00198829         1.1
           8    0.525562    0.397427  0.00185103         1.1
           9    0.527535    0.397668  0.00166099         1.1
          10    0.526224    0.397414  0.00151422         1.1
          11    0.529432    0.395951  0.00196003         1.1
          12     0.52796    0.395499  0.00184799         1.1
          13    0.530228    0.395343  0.00171243         1.1
          14     0.52954    0.395748  0.00163737         1.1
          15    0.528959    0.395342  0.00157771         1.1
          16    0.532219    0.394904  0.00153895         1.1
          17    0.529206    0.395097  0.00146059         1.1
          18    0.530492    0.395612  0.00146736         1.1
          19    0.531363    0.395769  0.00139849         1.1
          20    0.527527      0.3956  0.00133878         1.1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.591453    0.422089           0           1
           2    0.584557    0.420511  0.00111616           1
           3    0.587565    0.420777 0.000775162           1
           4    0.591504     0.41853  0.00203108           1
           5    0.589047    0.417086  0.00207536           1
           6    0.587464    0.418667  0.00225232           1
           7    0.591316    0.417431  0.00224407           1
           8    0.585098     0.41762  0.00197151           1
           9    0.585542    0.418145  0.00182106           1
          10     0.58703    0.417947  0.00164968           1
          11    0.589353    0.417071  0.00171647           1
          12     0.59352    0.416878  0.00158429           1
          13    0.589006     0.41648  0.00151161           1
          14    0.591896    0.416649  0.00141305           1
          15    0.586064     0.41662  0.00131916           1
          16    0.589517    0.415795  0.00147209           1
          17    0.586374    0.416283  0.00146421           1
          18    0.589389    0.416685  0.00143704           1
          19    0.587981    0.416549  0.00136785           1
          20    0.585715     0.41604  0.00139096           1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1      0.6557    0.442742           0         0.9
           2    0.650349    0.431413  0.00801116         0.9
           3    0.652015    0.433376  0.00557615         0.9
           4     0.65642    0.436088  0.00479661         0.9
           5    0.658132    0.436561  0.00386057         0.9
           6    0.656756    0.435724  0.00330677         0.9
           7    0.652012    0.432912  0.00384821         0.9
           8    0.650105    0.433037  0.00336918         0.9
           9    0.653786    0.434413  0.00326387         0.9
          10      0.6567    0.434613  0.00294363         0.9
          11    0.653069    0.433595  0.00284677         0.9
          12    0.660716    0.432528  0.00280227         0.9
          13    0.650392    0.431896  0.00265698         0.9
          14    0.660613    0.432876  0.00264172         0.9
          15    0.656182    0.432762  0.00246809         0.9
          16    0.655612    0.433269  0.00236527         0.9
          17    0.656959    0.433224  0.00222656         0.9
