#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           4     0.79004     0.43136  0.00481453         0.7
           5    0.805071    0.430869  0.00387666         0.7
           6    0.805034    0.431381  0.00326428         0.7
           7     0.79569    0.431836  0.00282947         0.7
           8    0.796723    0.428734  0.00381473         0.7
           9    0.805344    0.430308  0.00370165         0.7
          10    0.810134    0.432592  0.00397396         0.7
          11     0.79643    0.431385  0.00379141         0.7
          12    0.808205    0.430594  0.00355702         0.7
          13     0.79253    0.429428  0.00346953         0.7
          14    0.793507     0.42861  0.00331654         0.7
          15     0.79964    0.429218  0.00315052         0.7
          16    0.798501     0.42781  0.00325295         0.7
          17    0.791852    0.429023  0.00328013         0.7
          18    0.803688    0.429492  0.00313126         0.7
          19    0.812521    0.431131  0.00336802         0.7
          20    0.800688    0.431784  0.00326231         0.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1     0.88536     0.43446           0         0.6
           2    0.882532    0.427854  0.00467083         0.6
           3    0.863558    0.435365  0.00687801         0.6
           4    0.863101    0.431476  0.00616073         0.6
           5    0.875852    0.427748  0.00595082         0.6
           6    0.880389    0.428785  0.00504865         0.6
           7    0.869987    0.425765  0.00515189         0.6
           8    0.873063    0.423841  0.00485405         0.6
           9    0.881716    0.424513  0.00436099         0.6
          10    0.885694    0.424616  0.00392611         0.6
          11      0.8668    0.425405  0.00364762         0.6
          12     0.88001    0.427189  0.00375478         0.6
          13     0.88172    0.425996  0.00365067         0.6
          14     0.87064    0.425772  0.00339675         0.6
          15    0.870158    0.425807  0.00317048         0.6
          16    0.886808    0.425668  0.00297539         0.6
          17    0.876606    0.424909  0.00289557         0.6
          18    0.870106    0.424408  0.00277758         0.6
          19    0.879382    0.425105  0.00271723         0.6
          20    0.882536    0.424266   0.0027078         0.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.948845    0.335969           0         0.5
           2    0.950657    0.331045  0.00348167         0.5
           3    0.941211    0.343295    0.010268         0.5
           4    0.944268    0.345141   0.0078651         0.5
           5    0.952465    0.340988  0.00730695         0.5
           6    0.948605    0.340736  0.00609345         0.5
           7    0.940005    0.345143  0.00662733         0.5
           8    0.953664     0.34091  0.00702143         0.5
           9    0.954015    0.339528  0.00637584         0.5
          10    0.959662    0.334069  0.00772957         0.5
          11    0.958774    0.329692  0.00817314         0.5
          12    0.951135    0.329557  0.00749315         0.5
          13    0.946853    0.330416   0.0069658         0.5
          14    0.943641    0.330891   0.0064844         0.5
          15    0.960336    0.328876  0.00635735         0.5
          16    0.959556    0.325691  0.00671059         0.5
          17    0.962935    0.322148  0.00719057         0.5
          18    0.936211    0.324626   0.0072055         0.5
          19    0.953394    0.324203  0.00683866         0.5
          20    0.944406    0.326437  0.00685182         0.5
