#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
          16      22.617     24.0691    0.411648         0.7
          17     29.4158     24.3836    0.493156         0.7
          18     20.9626     24.1936    0.501045         0.7
          19     24.0163     24.1842    0.474761         0.7
          20     24.4542     24.1977    0.451215         0.7
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     45.6364     45.6364           0         0.6
           2     44.6878     45.1621    0.335369         0.6
           3     39.7475     43.3572     1.49054         0.6
           4     39.1839     42.3139     1.43739         0.6
           5     39.7422     41.7996     1.23852         0.6
           6      45.396      42.399     1.16818         0.6
           7     44.9705     42.7663     1.05748         0.6
           8     38.2602     42.2031     1.06479         0.6
           9     45.7698     42.5994     1.01756         0.6
          10     45.9544     42.9349    0.969538         0.6
          11     42.2849     42.8758    0.883197         0.6
          12     43.2511     42.9071    0.810151         0.6
          13     53.0165     43.6847     1.05711         0.6
          14     39.1493     43.3607     1.03004         0.6
          15     47.9217     43.6648     1.00525         0.6
          16     46.8601     43.8645    0.962056         0.6
          17     47.7394     44.0924    0.932074         0.6
          18      38.567     43.7855    0.929467         0.6
          19     41.7227     43.6769    0.886866         0.6
          20     48.4872     43.9174    0.874528         0.6
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1      66.132      66.132           0         0.5
           2     70.8327     68.4823     1.66194         0.5
           3        71.8     69.5882      1.4293         0.5
           4     77.0295     71.4486     1.93513         0.5
           5     68.7042     70.8997     1.62408         0.5
           6     75.5051     71.6672     1.52403         0.5
           7     79.3049     72.7583     1.65132         0.5
           8      84.266     74.1968      1.9744         0.5
           9     75.5046     74.3421     1.76036         0.5
          10     80.4819     74.9561     1.68801         0.5
          11     77.4836     75.1859     1.55011         0.5
          12     77.3497     75.3662     1.43138         0.5
          13     79.9501     75.7188     1.36402         0.5
          14     76.0538     75.7427      1.2668         0.5
          15     79.4386     75.9891     1.20607         0.5
          16     77.1594     76.0623      1.1329         0.5
          17     83.1262     76.4778     1.13992         0.5
          18      79.407     76.6405     1.08815         0.5
          19     73.4497     76.4726     1.04375         0.5
          20     79.7875     76.6383     1.00464         0.5
