#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
          18     0.08381   0.0839573  0.00260882         1.2
          19    0.089472   0.0842476   0.0024876         1.2
          20    0.076394   0.0838549  0.00239402         1.2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.11012     0.11012           0         1.1
           2    0.105318    0.107719  0.00169776         1.1
           3     0.12041    0.111949  0.00363477         1.1
           4    0.115976    0.112956  0.00286208         1.1
           5    0.125714    0.115508  0.00323282         1.1
           6    0.080398    0.109656  0.00598265         1.1
           7    0.131832    0.112824  0.00590751         1.1
           8    0.110744    0.112564  0.00517479         1.1
           9    0.109594    0.112234  0.00461032         1.1
          10    0.107054    0.111716  0.00417829         1.1
          11    0.107452    0.111328  0.00381639         1.1
          12    0.126088    0.112558  0.00369124         1.1
          13     0.11863    0.113025  0.00343672         1.1
          14    0.117056    0.113313  0.00320327         1.1
          15    0.127316    0.114247  0.00312279         1.1
          16    0.090282    0.112749  0.00326712         1.1
          17    0.109566    0.112562   0.0030803         1.1
          18     0.10064    0.111899  0.00297953         1.1
          19    0.121668    0.112414  0.00286673         1.1
          20    0.105642    0.112075  0.00274331         1.1
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.13669     0.13669           0           1
           2    0.142606    0.139648  0.00209162           1
           3    0.125938    0.135078  0.00398342           1
           4    0.151654    0.139222  0.00466959           1
           5    0.141032    0.139584  0.00374968           1
           6    0.148492    0.141069    0.003406           1
           7    0.164932    0.144478  0.00429935           1
           8    0.123416    0.141845  0.00449632           1
           9    0.143672    0.142048  0.00400131           1
          10    0.128962    0.140739  0.00380916           1
          11     0.17058    0.143452  0.00432223           1
          12    0.144212    0.143516  0.00396251           1
          13    0.127804    0.142307  0.00383758           1
          14    0.148224     0.14273  0.00358667           1
          15    0.147314    0.143035  0.00336055           1
          16    0.165862    0.144462  0.00344005           1
          17    0.120558    0.143056  0.00351334           1
          18    0.163616    0.144198  0.00349891           1
          19     0.15787    0.144918  0.00338794           1
          20    0.141636    0.144754  0.00322251           1
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.193226    0.193226           0         0.9
           2    0.195568    0.194397 0.000828022         0.9
           3    0.192068    0.193621 0.000840545         0.9
           4    0.188924    0.192447  0.00119642         0.9
           5    0.220558    0.198069  0.00511901         0.9
           6    0.204332    0.199113  0.00437098         0.9
           7    0.220704    0.202197  0.00471079         0.9
           8    0.170724    0.198263  0.00552568         0.9
           9    0.213436    0.199949   0.0051625         0.9
          10    0.171084    0.197062  0.00539317         0.9
          11    0.227704    0.199848  0.00557606         0.9
          12       0.225    0.201944  0.00549121         0.9
          13    0.188082    0.200878   0.0051713         0.9
          14    0.192228     0.20026  0.00483869         0.9
          15    0.197932    0.200105   0.0045186         0.9
          16     0.21185    0.200839   0.0042954         0.9
          17    0.193062    0.200381  0.00406702         0.9
          18    0.197242    0.200207  0.00384481         0.9
          19    0.189754    0.199657   0.0036816         0.9
          20    0.222108    0.200779  0.00366467         0.9
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.304122    0.304122           0         0.8
           2    0.271228    0.287675   0.0116298         0.8
           3    0.288644    0.287998  0.00775767         0.8
           4    0.320022    0.296004  0.00905119         0.8
           5    0.316984      0.3002  0.00815577         0.8
           6    0.301946    0.300491  0.00680166         0.8
           7    0.252308    0.293608  0.00863713         0.8
           8    0.225254    0.285064   0.0109997         0.8
           9    0.324556    0.289452   0.0106168         0.8
          10    0.249836     0.28549   0.0102676         0.8
          11    0.281768    0.285152  0.00933978         0.8
          12    0.262144    0.283234  0.00875605         0.8
          13    0.265408    0.281863  0.00818918         0.8
          14    0.261664     0.28042  0.00773029         0.8
          15    0.262336    0.279215  0.00730835         0.8
          16     0.33283    0.282566  0.00758097         0.8
          17     0.26176    0.281342  0.00723315         0.8
          18    0.314482    0.283183  0.00706174         0.8
          19    0.310076    0.284598  0.00683045         0.8
          20    0.286318    0.284684  0.00648947         0.8
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.49016     0.49016           0         0.7
           2     0.44622     0.46819   0.0155351         0.7
           3     0.50257     0.47965   0.0139577         0.7
           4     0.47323    0.478045   0.0105601         0.7
           5    0.486596    0.479755  0.00858547         0.7
           6    0.477742     0.47942  0.00716112         0.7
           7    0.469028    0.477935  0.00629009         0.7
           8    0.440816    0.473295  0.00700926         0.7
           9    0.400138    0.465167  0.00987678         0.7
          10    0.426834    0.461333   0.0096042         0.7
          11    0.444152    0.459771  0.00885719         0.7
          12     0.41351    0.455916   0.0089187         0.7
          13    0.447646     0.45528   0.0082553         0.7
          14    0.385718    0.450311  0.00903807         0.7
          15    0.383268    0.445842  0.00947647         0.7
          16    0.404974    0.443288    0.009222         0.7
          17    0.445144    0.443397  0.00868017         0.7
          18     0.45502    0.444043  0.00822192         0.7
          19    0.456004    0.444672  0.00781326         0.7
          20    0.466376    0.445757  0.00749758         0.7
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.671836    0.671836           0         0.6
           2     0.44147    0.556653   0.0814467         0.6
           3     0.64287    0.585392   0.0591512         0.6
