#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           6   -0.681404   -0.682559 0.000522143         1.2
           7   -0.683232   -0.682655 0.000456325         1.2
           8   -0.683384   -0.682746 0.000408285         1.2
           9   -0.680608   -0.682508 0.000426466         1.2
          10   -0.684612   -0.682719 0.000432599         1.2
          11    -0.68332   -0.682773  0.00039671         1.2
          12   -0.683672   -0.682848  0.00037065         1.2
          13   -0.684324   -0.682962   0.0003591         1.2
          14   -0.680308   -0.682772 0.000380204         1.2
          15   -0.684516   -0.682889 0.000372205         1.2
          16   -0.683504   -0.682927 0.000350924         1.2
          17   -0.682772   -0.682918   0.0003304         1.2
          18    -0.68306   -0.682926 0.000312138         1.2
          19   -0.682776   -0.682918  0.00029581         1.2
          20   -0.682196   -0.682882 0.000283213         1.2
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.720584   -0.720584           0         1.1
           2   -0.722408   -0.721496 0.000644881         1.1
           3   -0.720464   -0.721152 0.000513539         1.1
           4   -0.721388   -0.721211 0.000388529         1.1
           5   -0.722356    -0.72144 0.000372242         1.1
           6   -0.718668   -0.720978 0.000523541         1.1
           7   -0.721812   -0.721097 0.000462107         1.1
           8   -0.718856   -0.720817 0.000481834         1.1
           9    -0.71952   -0.720673 0.000449331         1.1
          10   -0.720468   -0.720652 0.000404865         1.1
          11   -0.721224   -0.720704 0.000371379         1.1
          12   -0.721008    -0.72073 0.000341291         1.1
          13    -0.72326   -0.720924 0.000366361         1.1
          14   -0.719376   -0.720814 0.000356494         1.1
          15    -0.72192   -0.720887 0.000340271         1.1
          16   -0.722068   -0.720961 0.000326906         1.1
          17   -0.718892    -0.72084 0.000329559         1.1
          18   -0.719388   -0.720759 0.000320964         1.1
          19    -0.72248   -0.720849 0.000316596         1.1
          20   -0.720564   -0.720835 0.000301088         1.1
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.761504   -0.761504           0           1
           2    -0.76106   -0.761282 0.000156978           1
           3   -0.761964   -0.761509 0.000213086           1
           4    -0.76362   -0.762037 0.000484112           1
           5   -0.764588   -0.762547 0.000598529           1
           6   -0.763224    -0.76266 0.000509292           1
           7     -0.7615   -0.762494 0.000462712           1
           8    -0.75888   -0.762043 0.000585251           1
           9   -0.759968   -0.761812  0.00056379           1
          10    -0.76288   -0.761919 0.000517427           1
          11   -0.761304   -0.761863 0.000473398           1
          12   -0.762676   -0.761931  0.00043877           1
          13   -0.762856   -0.762002 0.000410752           1
          14   -0.760552   -0.761898 0.000394251           1
          15   -0.765072    -0.76211  0.00042093           1
          16   -0.764192    -0.76224  0.00041425           1
          17    -0.76056   -0.762141 0.000401497           1
          18    -0.76094   -0.762074 0.000384697           1
          19   -0.763008   -0.762124 0.000367574           1
          20   -0.761656     -0.7621 0.000349938           1
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.804388   -0.804388           0         0.9
           2   -0.804456   -0.804422 2.40416e-05         0.9
           3   -0.805336   -0.804727 0.000249275         0.9
           4     -0.8046   -0.804695 0.000188957         0.9
           5     -0.8035   -0.804456 0.000261816         0.9
           6    -0.80634    -0.80477  0.00036023         0.9
