#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           9     7.48775     7.45993   0.0730425           1
          10     7.61478     7.47541   0.0673599           1
          11     7.29342     7.45887   0.0632355           1
          12     7.39968     7.45393   0.0581579           1
          13     7.23512      7.4371    0.056067           1
          14     7.45598     7.43845   0.0520784           1
          15     8.00576     7.47627    0.060808           1
          16     7.38997     7.47088   0.0572462           1
          17     7.28217     7.45978   0.0549444           1
          18     7.41816     7.45747   0.0519406           1
          19     7.69512     7.46997   0.0506906           1
          20     7.59746     7.47635   0.0485552           1
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     10.3971     10.3971           0         0.9
           2      10.583     10.4901   0.0657499         0.9
           3      10.499      10.493   0.0439014         0.9
           4     9.45333     10.2331      0.2275         0.9
           5     10.7685     10.3402    0.205663         0.9
           6     10.4121     10.3522    0.171735         0.9
           7     10.0336     10.3067    0.153113         0.9
           8     10.7755     10.3653    0.144755         0.9
           9     10.6502      10.397    0.132088         0.9
          10     9.95656     10.3529    0.126008         0.9
          11     10.6467     10.3796    0.117349         0.9
          12     10.4568     10.3861    0.107746         0.9
          13     10.6959     10.4099     0.10206         0.9
          14     10.4136     10.4102   0.0947708         0.9
          15     9.47541     10.3478    0.106997         0.9
          16     9.82948     10.3154      0.1051         0.9
          17     10.2176     10.3097   0.0990748         0.9
          18      10.609     10.3263   0.0949563         0.9
          19     10.9033     10.3567   0.0946905         0.9
          20     11.0108     10.3894   0.0954367         0.9
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     15.4026     15.4026           0         0.8
           2     15.1281     15.2653   0.0970628         0.8
           3     15.4356     15.3221   0.0795907         0.8
           4     15.8976      15.466    0.138157         0.8
           5     15.8843     15.5496    0.133474         0.8
           6     16.4172     15.6942    0.172609         0.8
           7     14.5871     15.5361    0.208164         0.8
           8     16.4473       15.65    0.211016         0.8
           9     14.5312     15.5257    0.221171         0.8
          10     15.0551     15.4786    0.203998         0.8
          11     15.6511     15.4943    0.186055         0.8
          12     13.9586     15.3663    0.209997         0.8
          13     15.5597     15.3812     0.19437         0.8
          14     14.5269     15.3202    0.189823         0.8
          15     15.3882     15.3247    0.177222         0.8
          16     15.9109     15.3613    0.169891         0.8
          17     14.9462     15.3369    0.161643         0.8
          18     15.8923     15.3678    0.155579         0.8
          19     15.8536     15.3933    0.149478         0.8
          20     15.6869      15.408    0.142722         0.8
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     23.7174     23.7174           0         0.7
           2     24.9291     24.3232    0.428408         0.7
           3      22.467     23.7045    0.580352         0.7
           4     22.1671     23.3201    0.547944         0.7
           5     25.1038     23.6769    0.542185         0.7
           6     25.3842     23.9614     0.52117         0.7
           7     23.8655     23.9477    0.446897         0.7
           8     23.4807     23.8894     0.39483         0.7
           9     26.1584     24.1415    0.423878         0.7
          10     27.1393     24.4413    0.475833         0.7
          11     24.1697     24.4166    0.433216         0.7
          12     25.9421     24.5437    0.415348         0.7
          13      21.885     24.3392    0.430818         0.7
          14     22.5603     24.2121    0.418363         0.7
          15     25.2722     24.2828    0.396396         0.7
          16     23.7269      24.248    0.373141         0.7
          17     23.9492     24.2305    0.351605         0.7
          18     25.2737     24.2884    0.336814         0.7
          19     27.3841     24.4513    0.356322         0.7
          20     25.6017     24.5089    0.343117         0.7
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     48.3448     48.3448           0         0.6
           2     45.6007     46.9728    0.970176         0.6
           3     39.3447     44.4301     2.17451         0.6
           4     39.0908     43.0953     1.99901         0.6
           5     42.7138      43.019     1.60067         0.6
           6     45.6325     43.4546     1.39189         0.6
           7     41.5812     43.1869     1.21851         0.6
           8     42.5253     43.1042       1.069         0.6
           9     46.2354     43.4521     1.00524         0.6
          10     47.8695     43.8939    0.997059         0.6
          11     40.2991     43.5671    0.958477         0.6
          12     46.6092     43.8206    0.911514         0.6
          13     45.5199     43.9513    0.850718         0.6
          14     42.7732     43.8672    0.794104         0.6
          15     41.2565     43.6931    0.759997         0.6
          16     48.1024     43.9687    0.760822         0.6
          17     43.3674     43.9333     0.71689         0.6
          18     40.8531     43.7622    0.697187         0.6
          19     45.2894     43.8426     0.66511         0.6
          20     45.7977     43.9403    0.638999         0.6
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     78.3834     78.3834           0         0.5
           2     79.2175     78.8004    0.294906         0.5
           3     75.1446     77.5818     1.01422         0.5
           4     75.8393     77.1462    0.849086         0.5
           5     80.1214     77.7412     0.86294         0.5
           6     77.0427     77.6248    0.726928         0.5
           7     73.2553     77.0006    0.849835         0.5
           8      81.069     77.5091    0.882747         0.5
           9     80.9253     77.8887    0.862417         0.5
          10     83.2131     78.4212    0.926063         0.5
          11     83.7927     78.9095    0.962048         0.5
          12     78.9837     78.9157    0.881897         0.5
          13     77.5015     78.8069    0.820741         0.5
          14     75.0442     78.5381    0.804919         0.5
          15     83.9443     78.8985    0.828024         0.5
          16     83.5527     79.1894    0.825788         0.5
          17     84.8066     79.5198    0.840723         0.5
          18     71.7934     79.0906    0.896928         0.5
          19      80.332     79.1559    0.852097         0.5
          20     76.4382       79.02    0.820256         0.5
